101_87;Resumo Resumo O projeto de pesquisa ROODA- Rede cOOperativa De Aprendizagem - aborda uma área de conhecimento interdisciplinar que integra a Tecnologia Digital com a Educação. Um dos objetivos desta pesquisa é a construção de um ambiente de educação à distância que vise o desenvolvimento cognitivo, sócio-afetivo e profissional dos tele-aprendizes nos cursos de graduação e pós-graduação da UFRGS. Para isso foram implementadas diversas funcionalidades no ambiente ROODA a fim de promover a comunicação, interação, cooperação entre os usuários, e a produção de material através da Web.  
102_88;
103_89;Resumo Resumo O SAGRES é um ambiente educacional que visa formar uma parceria entre museus e escolas. Como um ambiente educacional é importante avaliar a usabilidade do SAGRES, pois produtos com baixa usabilidade são geralmente responsáveis por frustração, ansiedade e podem levar o estudante a conclusões errôneas. Neste sentido, adotamos uma avaliação através de testes com usuários. Com esta avaliação concluímos alguns pontos positivos e negativos do sistema, considerando os aspectos técnicos, de conteúdo e qualidade pedagógica.    
104_90;Resumo Resumo Este artigo apresenta os resultados da avaliação de um conjunto de requisitos para sistemas de autoria hipermídia educacional obtido a partir da análise de diversos trabalhos que apresentam requisitos para sistemas pertencentes a esse domínio. As informações obtidas com a realização dessa avaliação permitiram identificar os requisitos considerados mais importantes por usuários de sistemas de autoria hipermídia educacional e, por outro lado, identificar requisitos que não faziam parte do conjunto original, mas que também são relevantes segundo a opinião desses usuários. Os resultados obtidos permitiram complementar o conjunto original de requisitos e, 
105_91;RESUMO RESUMO   Neste artigo é proposto um sistema de gerência de questões e aplicação de avaliações na Web, onde o termo “gerência” é utilizado com o objetivo de (i) atender requisições dos professores para elaboração de avaliações, (ii) escolher o nível de dificuldade das questões que comporão a avaliação e (iii) usar estratégias interativas para aplicação de provas, como por exemplo, a utilização de níveis de dificuldade progressivos das questões submetidas aos alunos, dependendo de suas respostas anteriores. 
106_92;Resumo  Resumo    A pesquisa em STI (Sistemas Tutores Inteligentes) vem sendo desenvolvida com uso de diferentes abordagens e técnicas. A parte mais difícil do projeto está associada à modelagem do aluno. Existe uma distância entre o que efetivamente inferimos do comportamento do aluno e o que realmente acontece quando ele pensa. A modelagem do aluno está diretamente conectada com o comportamento do tutor, gerando uma coreografia associada às interações. De maneira a contribuir para as discussões e pesquisa no que tange ao projeto e construção de STI, este artigo apresenta a 
107_93;
108_94;
109_95;Resumo: Resumo: As possibilidades que a Internet viabiliza de interação em ambientes de educação à distância, aponta para a importância de se investigar que tipo de relações esse sistema permite e como se  constrói o diálogo e a interação em um ambiente onde não se dá a interação face-a-face. Esse estudo buscou investigar a presença de uma dimensão sócio-afetiva na interação de grupos através da análise de mensagens postadas em fóruns de discussão de um ambiente cooperativo de aprendizagem à distância.     
110_96;Resumo: Projeta-se para o futuro as Escolas e Universidades Virtuais, onde os Resumo: Projeta-se para o futuro as Escolas e Universidades Virtuais, onde os processos administrativos e o ensino poderão ocorrer no ambiente Web. Para permitir e facilitar esse processo educacional torna-se necessário o uso de um ambiente de gerenciamento de cursos a distância, que supra as principais necessidades de professores e alunos. Este artigo apresenta os trabalhos desenvolvidos durante o ano de 2000, dando continuidade à metodologia de educação a distância, em desenvolvimento na Universidade de Santa Cruz do Sul.     
